invoiceno,stockcode,quantity,invoicedate,unitprice,customerid,country
545053,22055,1,2/27/2011 12:41,1.65,17516.0,United Kingdom
553341,22666,6,5/16/2011 12:25,2.95,16293.0,United Kingdom
555076,22627,2,5/31/2011 12:11,8.5,13900.0,United Kingdom
540154,90198A,1,1/5/2011 11:30,4.24,,United Kingdom
574076,22161,4,11/2/2011 15:38,0.79,,United Kingdom
564300,22984,12,8/24/2011 11:31,0.42,16723.0,United Kingdom
566451,22896,3,9/12/2011 16:14,2.55,18069.0,United Kingdom
663492,22297,24,10/15/2011 11:50,1.25,15714,United Kingdom
540566,22813,2,1/10/2011 10:58,1.95,17811.0,United Kingdom
537638,21846,7,12/7/2010 15:28,4.21,,United Kingdom
571322,23200,10,10/17/2011 11:05,2.08,13534.0,United Kingdom
579145,23300,24,11/28/2011 13:13,1.65,14597.0,United Kingdom
551840,48129,10,5/4/2011 13:36,6.75,15144.0,United Kingdom
580679,21718,12,12/5/2011 14:49,1.25,18198.0,United Kingdom
562014,21155,6,8/1/2011 14:05,2.55,14341.0,United Kingdom
571203,21213,24,10/14/2011 12:33,0.55,17677.0,United Kingdom
550636,85194L,2,4/19/2011 15:37,1.63,,United Kingdom
576321,23215,1,11/14/2011 14:59,2.08,14953.0,United Kingdom
560281,23293,1,7/17/2011 15:59,0.83,17984.0,United Kingdom
556490,23049,2,6/12/2011 14:08,8.25,13078.0,United Kingdom
566446,22915,6,9/12/2011 15:40,0.83,,United Kingdom
561217,21218,2,7/25/2011 17:09,8.29,,United Kingdom
556042,23133,2,6/8/2011 12:44,8.25,14367.0,United Kingdom
567850,79321,4,9/22/2011 13:18,5.75,15067.0,United Kingdom
577536,22335,1,11/20/2011 14:14,0.65,15850.0,United Kingdom
541265,85099C,2,1/16/2011 16:23,1.95,17609.0,United Kingdom
570229,22111,1,10/9/2011 13:30,4.95,15756.0,United Kingdom
539595,22502,1,12/20/2010 13:43,8.47,,United Kingdom
558485,23084,1,6/30/2011 10:11,2.08,,United Kingdom
578129,21264,12,11/23/2011 10:39,1.95,13502.0,United Kingdom
567707,22037,36,9/22/2011 9:52,0.42,14676.0,United Kingdom
576329,23437,1,11/14/2011 15:22,2.46,,United Kingdom
554016,21916,6,5/20/2011 13:14,0.42,13243.0,United Kingdom
545830,22244,2,3/7/2011 13:10,1.95,17634.0,United Kingdom
560773,84877B,2,7/20/2011 16:17,2.46,,United Kingdom
565541,23347,3,9/5/2011 12:00,1.25,14159.0,United Kingdom
557514,22077,3,6/20/2011 16:58,1.65,14667.0,United Kingdom
578681,22469,12,11/25/2011 8:41,1.65,13579.0,United Kingdom
580384,23329,10,12/4/2011 10:10,1.65,17243.0,United Kingdom
676124,21035,1,11/26/2011 13:45,3.25,15346,United Kingdom
548011,22662,200,3/29/2011 11:14,1.45,14646.0,Netherlands
572553,23322,4,10/24/2011 17:09,5.79,,United Kingdom
559121,22855,12,7/6/2011 12:18,1.25,13599.0,United Kingdom
569037,22766,3,9/30/2011 10:45,2.95,13263.0,United Kingdom
669509,23439,12,11/29/2011 12:17,2.1,16830,United Kingdom
581218,23581,10,12/8/2011 9:23,2.08,14191.0,United Kingdom
564872,22197,100,8/31/2011 10:47,0.72,16083.0,United Kingdom
538841,22197,20,12/14/2010 13:11,0.85,16899.0,United Kingdom
