invoiceno,stockcode,description,quantity,invoicedate,unitprice,customerid,country
564872,22197,POPCORN HOLDER,100,1314787620,£0.72,CUST-16083,United Kingdom
572540,23201,JUMBO BAG ALPHABET,4,1319473020,£4.13,,United Kingdom
566446,22915,ASSORTED BOTTLE TOP  MAGNETS ,6,1315842000,£0.83,,United Kingdom
568531,22915,ASSORTED BOTTLE TOP  MAGNETS ,18,1317131340,£0.42,CUST-16713,United Kingdom
575930,23229,VINTAGE DONKEY TAIL GAME ,1,1321034280,£7.46,,United Kingdom
566291,22523,CHILDS GARDEN FORK PINK,4,1315755060,£0.85,CUST-12965,United Kingdom
550513,22431,WATERING CAN BLUE ELEPHANT,3,1303144620,£1.95,CUST-16928,United Kingdom
570467,23159,SET OF 5 PANCAKE DAY MAGNETS,12,1318262760,£2.08,CUST-12607,USA
550799,22844,VINTAGE CREAM DOG FOOD CONTAINER,2,1303310760,£8.5,CUST-17115,United Kingdom
C562952,23244,ROUND STORAGE TIN VINTAGE LEAF,-2,1313057400,£1.95,CUST-12749,United Kingdom
551277,21528,DAIRY MAID TRADITIONAL TEAPOT ,1,1303909560,£6.95,CUST-13637,United Kingdom
551014,22546,MINI JIGSAW PURDEY,24,1303815840,£0.42,CUST-13209,United Kingdom
581412,23153,ZINC SWEETHEART WIRE LETTER RACK,2,1323355080,£3.75,CUST-14415,United Kingdom
540550,37444C,PINK BREAKFAST CUP AND SAUCER ,4,1294650660,£2.95,CUST-12539,Spain
547666,22759,SET OF 3 NOTEBOOKS IN PARCEL,24,1300972980,£1.65,CUST-14235,United Kingdom
567659,21891,TRADITIONAL WOODEN SKIPPING ROPE,12,1316616900,£1.45,CUST-17475,United Kingdom
656058,21061,PARTY INVITES FOOTBALL,1,1314966840,£0.85,CUST-17682,United Kingdom
680890,22951,60 CAKE CASES DOLLY GIRL DESIGN,2,1325006640,£1.25,CUST-893,United Kingdom
538999,22423,REGENCY CAKESTAND 3 TIER,16,1292414940,£10.95,CUST-16003,United Kingdom
637050,84991,60 TEATIME FAIRY CAKE CASES,24,1298572020,£0.55,CUST-13449,Germany
548167,22386,JUMBO BAG PINK POLKADOT,4,1301406300,£4.13,,United Kingdom
578940,84029E,RED WOOLLY HOTTIE WHITE HEART.,9,1322399880,£9.13,,United Kingdom
539750,21485,RETROSPOT HEART HOT WATER BOTTLE,6,1292946000,£7.62,,United Kingdom
571672,22139,RETROSPOT TEA SET CERAMIC 11 PC ,6,1318943700,£4.95,CUST-13880,United Kingdom
548259,21382,SET/4 SPRING FLOWER DECORATION,4,1301483520,£2.95,CUST-14099,United Kingdom
572552,22867,HAND WARMER BIRD DESIGN,2,1319476020,£4.13,CUST-14096,United Kingdom
567213,22141,CHRISTMAS CRAFT TREE TOP ANGEL,1,1316430240,£2.1,CUST-14684,United Kingdom
550953,22728,ALARM CLOCK BAKELIKE PINK,1,1303402620,£7.46,,United Kingdom
540278,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,1294317060,£2.95,CUST-15719,United Kingdom
C540393,85042,ANTIQUE LILY FAIRY LIGHTS,-1,1294337280,£4.95,CUST-17428,United Kingdom
557466,23240,SET OF 4 KNICK KNACK TINS DOILEY ,6,1308575280,£4.15,CUST-13815,Germany
552828,22046,TEA PARTY  WRAPPING PAPER ,25,1305120180,£0.42,CUST-13662,United Kingdom
680262,23394,POSTE FRANCE CUSHION COVER,2,1327762200,£3.75,CUST-16255,United Kingdom
563477,23292,SPACEBOY CHILDRENS CUP,1,1313509140,£1.25,CUST-17097,Spain
579938,23562,SET OF 6 RIBBONS PERFECTLY PRETTY  ,6,1322734680,£2.89,CUST-14146,United Kingdom
659138,22355,CHARLOTTE BAG SUKI DESIGN,6,1316103480,£1.63,CUST-4393,United Kingdom
552460,21936,RED RETROSPOT PICNIC BAG,5,1304952240,£2.95,CUST-13178,United Kingdom
543997,21086,SET/6 RED SPOTTY PAPER CUPS,4,1297766940,£0.65,CUST-17348,United Kingdom
556924,47503A,ASS FLORAL PRINT MULTI SCREWDRIVER,1,1308147240,£1.25,,France
571797,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,2,1319024460,£4.13,,United Kingdom
640648,22817,CARD SUKI BIRTHDAY,17,1295435040,£0.43,CUST-4167,United Kingdom
578285,23515,EMBROIDERED RIBBON REEL DAISY ,1,1322056620,£2.08,CUST-12748,United Kingdom
568650,84849A,HELLO SAILOR BLUE SOAP HOLDER,12,1317210960,£1.69,CUST-13505,Switzerland
541265,85025C,PINK HEART SHAPE PHOTO FRAME,1,1295194980,£1.65,CUST-17609,United Kingdom
559557,23159,SET OF 5 PANCAKE DAY MAGNETS,12,1310380380,£2.08,CUST-17444,Canada
572901,22963,JAM JAR WITH GREEN LID,2,1319640840,£0.85,CUST-16332,United Kingdom
576857,22077,6 RIBBONS RUSTIC CHARM,1,1321458720,£1.95,CUST-12748,United Kingdom
544214,22549,PICTURE DOMINOES,3,1297941540,£2.46,,United Kingdom
656153,47590B,PINK HAPPY BIRTHDAY BUNTING,6,1311605820,£5.45,CUST-17513,United Kingdom
576861,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,50,1321459200,£0.29,CUST-18041,United Kingdom
